Student_ID,Name,Payment_Status,Advisor_ID,Calculus 1_Grade,Calculus 1_Attendance,Programming 1_Grade,Programming 1_Attendance,Physics 1_Grade,Physics 1_Attendance,English 1_Grade,English 1_Attendance,Intro to CS_Grade,Intro to CS_Attendance,Discrete Math_Grade,Discrete Math_Attendance,Electronics_Grade,Electronics_Attendance,Locked_Courses,CGPA
352300001,Maha Ibrahim,Paid,106,57,75%,54,68%,87,66%,83,94%,45,97%,67,62%,41,65%,None,2.48
352300002,Omar Mohamed,Paid,105,52,94%,66,74%,68,97%,57,60%,88,70%,84,87%,61,77%,None,2.72
352300003,Ali Mohamed,Unpaid,101,45,84%,46,82%,94,82%,78,76%,91,62%,86,89%,74,67%,"Calculus 2, Programming 2",2.94
352300004,Salma Saad,Paid,105,58,100%,79,83%,76,72%,85,64%,42,74%,89,78%,45,74%,None,2.71
352300005,Hana Ibrahim,Unpaid,103,69,100%,93,83%,50,83%,62,73%,82,77%,84,64%,78,100%,None,2.96
352300006,Ali Kamel,Paid,102,69,84%,57,100%,84,95%,54,80%,93,63%,54,62%,91,80%,None,2.87
352300007,Fatma Ahmed,Paid,102,98,96%,96,80%,53,91%,65,89%,49,76%,48,75%,87,95%,None,2.83
352300008,Youssef Ahmed,Unpaid,105,65,83%,54,68%,72,91%,45,63%,95,67%,49,100%,50,87%,None,2.46
352300009,Layla Ibrahim,Unpaid,104,78,89%,73,76%,75,60%,83,67%,83,94%,88,77%,89,81%,None,3.25
352300010,Mohamed Ahmed,Unpaid,102,69,60%,86,76%,72,71%,72,66%,95,100%,59,100%,72,98%,None,3.0
352300011,Omar Hassan,Unpaid,107,50,94%,89,93%,98,60%,78,80%,71,61%,47,83%,96,79%,None,3.02
352300012,Omar Ali,Paid,105,100,65%,45,91%,92,64%,88,94%,89,68%,48,90%,100,95%,Programming 2,3.21
352300013,Ali Ahmed,Unpaid,102,99,94%,88,72%,85,79%,65,83%,68,93%,68,67%,55,74%,None,3.02
352300014,Mohamed Mahmoud,Paid,105,75,74%,77,74%,40,64%,85,100%,43,74%,44,62%,95,81%,None,2.62
352300015,Mohamed Kamel,Paid,103,82,91%,53,94%,48,96%,76,90%,55,90%,91,86%,52,66%,None,2.61
352300016,Mohamed Salem,Unpaid,103,67,86%,69,63%,83,66%,43,85%,86,81%,91,66%,55,72%,None,2.82
352300017,Omar Kamel,Unpaid,102,67,71%,57,89%,55,64%,68,95%,46,63%,81,94%,93,60%,None,2.67
352300018,Mohamed Khalil,Paid,102,66,91%,70,73%,95,85%,97,63%,50,84%,40,84%,56,89%,None,2.71
352300019,Sara Saad,Unpaid,102,52,78%,53,63%,77,94%,43,80%,43,63%,77,90%,72,93%,None,2.38
352300020,Ali Ali,Paid,107,51,64%,78,64%,83,75%,65,67%,100,96%,55,97%,78,62%,None,2.91
352300021,Layla Ibrahim,Unpaid,106,77,96%,73,80%,99,76%,53,80%,55,76%,65,68%,82,79%,None,2.88
