Student_ID,Name,Payment_Status,Advisor_ID,Calculus 2_Grade,Calculus 2_Attendance,Programming 2_Grade,Programming 2_Attendance,Data Structures_Grade,Data Structures_Attendance,Logic Design_Grade,Logic Design_Attendance,English 2_Grade,English 2_Attendance,Linear Algebra_Grade,Linear Algebra_Attendance,Probability_Grade,Probability_Attendance,Locked_Courses,CGPA
352300071,Layla Mahmoud,Paid,107,94,88%,46,93%,98,89%,40,69%,66,69%,44,90%,90,76%,Data Structures,2.73
352300072,Nour Fawzy,Unpaid,106,45,81%,94,94%,64,80%,80,91%,95,94%,42,99%,44,75%,None,2.65
352300073,Maha Salem,Unpaid,102,87,65%,67,66%,88,100%,85,66%,68,70%,84,79%,97,61%,None,3.29
352300074,Ahmed Mahmoud,Paid,103,62,83%,67,69%,55,93%,66,96%,83,71%,50,71%,45,99%,None,2.45
352300075,Hana Saad,Paid,104,98,97%,49,74%,69,100%,56,89%,56,60%,97,89%,97,78%,Data Structures,2.98
352300076,Maha Kamel,Paid,101,68,82%,77,79%,80,87%,84,76%,69,79%,52,84%,94,90%,None,2.99
352300077,Mohamed Mohamed,Unpaid,105,62,96%,58,78%,41,85%,57,60%,76,63%,98,98%,87,91%,Algorithms,2.74
352300078,Hana Ahmed,Paid,105,91,82%,54,100%,52,99%,56,68%,80,66%,97,100%,81,62%,None,2.92
352300079,Sara Khalil,Unpaid,101,77,83%,86,68%,45,78%,60,86%,51,72%,48,94%,96,83%,Algorithms,2.65
352300080,Youssef Kamel,Unpaid,107,50,76%,98,90%,91,78%,87,81%,91,67%,69,64%,49,74%,None,3.06
352300081,Hana Salem,Unpaid,107,91,95%,63,65%,90,85%,40,76%,74,67%,69,83%,83,76%,None,2.91
352300082,Layla Saad,Unpaid,101,83,74%,70,61%,79,95%,60,99%,54,64%,80,89%,98,79%,None,2.99
352300083,Maha Saad,Paid,102,42,62%,59,91%,47,66%,55,94%,48,84%,69,83%,82,94%,Algorithms,2.3
