Student_ID,Name,Payment_Status,Advisor_ID,Algorithms_Grade,Algorithms_Attendance,Operating Systems_Grade,Operating Systems_Attendance,Database_Grade,Database_Attendance,Networking_Grade,Networking_Attendance,Software Engineering_Grade,Software Engineering_Attendance,AI_Grade,AI_Attendance,Computer Architecture_Grade,Computer Architecture_Attendance,Locked_Courses,CGPA
352300141,Mohamed Saad,Unpaid,102,53,97%,62,63%,43,78%,71,98%,96,90%,58,94%,40,66%,Cloud Computing,2.42
352300142,Fatma Hassan,Unpaid,106,63,85%,63,62%,65,63%,76,95%,52,83%,75,78%,44,84%,None,2.5
352300143,Youssef Nasser,Unpaid,107,79,99%,47,68%,46,85%,63,81%,75,83%,88,69%,52,98%,Cloud Computing,2.57
352300144,Youssef Saad,Paid,101,42,68%,85,81%,91,90%,73,89%,49,98%,97,92%,48,80%,None,2.77
352300145,Salma Fawzy,Unpaid,102,65,99%,87,79%,77,81%,72,92%,74,91%,85,96%,59,90%,None,2.97
352300146,Hana Ali,Unpaid,103,83,67%,66,97%,59,100%,41,98%,70,76%,81,97%,76,74%,Cybersecurity,2.72
352300147,Hassan Ali,Unpaid,102,73,100%,86,99%,89,84%,49,75%,42,96%,100,67%,52,61%,Cybersecurity,2.81
352300148,Khaled Mahmoud,Unpaid,102,66,73%,66,92%,89,99%,98,90%,95,63%,85,68%,73,73%,None,3.27
352300149,Youssef Mahmoud,Unpaid,105,64,80%,51,89%,98,94%,61,94%,62,76%,79,90%,52,75%,None,2.67
352300150,Sara Kamel,Unpaid,102,100,79%,89,78%,85,73%,84,91%,60,90%,62,95%,99,77%,None,3.31
352300151,Sara Ibrahim,Unpaid,104,92,82%,89,69%,58,62%,58,65%,62,88%,81,76%,87,90%,None,3.01
352300152,Omar Mohamed,Unpaid,105,84,77%,48,66%,79,97%,55,75%,43,93%,54,100%,54,63%,None,2.38
352300153,Mohamed Saad,Unpaid,106,70,66%,83,68%,40,95%,99,70%,66,90%,70,72%,88,78%,Cloud Computing,2.95
352300154,Nour Ahmed,Paid,107,45,96%,54,94%,87,62%,98,71%,66,71%,99,62%,93,85%,None,3.1
352300155,Ibrahim Nasser,Paid,106,95,78%,96,62%,40,79%,76,98%,46,81%,58,89%,81,94%,Cloud Computing,2.81
352300156,Youssef Nasser,Paid,107,72,89%,57,72%,91,67%,61,70%,86,89%,81,76%,85,71%,None,3.05
352300157,Ahmed Amer,Unpaid,107,58,96%,83,72%,51,99%,94,100%,97,85%,92,87%,72,80%,None,3.13
352300158,Mohamed Saad,Paid,102,48,90%,60,75%,40,76%,64,75%,68,77%,61,79%,77,96%,Cloud Computing,2.39
352300159,Ahmed Ahmed,Unpaid,106,55,63%,82,67%,69,79%,50,85%,83,92%,99,79%,84,67%,None,2.98
352300160,Maha Ahmed,Unpaid,105,54,74%,48,90%,49,89%,87,98%,63,86%,84,95%,98,90%,Cloud Computing,2.76
352300161,Ibrahim Kamel,Paid,107,55,98%,95,65%,73,88%,73,83%,44,96%,47,63%,93,95%,None,2.74
352300162,Salma Kamel,Paid,105,74,69%,50,80%,94,93%,68,67%,83,73%,85,97%,71,65%,None,3.0
352300163,Salma Kamel,Unpaid,107,43,89%,48,92%,66,89%,76,63%,75,89%,83,79%,86,61%,None,2.73
352300164,Fatma Ahmed,Paid,106,53,97%,44,62%,67,82%,84,64%,74,63%,99,64%,99,90%,None,2.97
352300165,Ahmed Ahmed,Unpaid,102,89,68%,89,86%,63,84%,68,84%,64,65%,83,94%,48,82%,None,2.88
352300166,Mohamed Hassan,Unpaid,105,48,74%,93,60%,88,61%,59,89%,83,94%,67,94%,64,74%,None,2.87
352300167,Omar Nasser,Unpaid,102,57,72%,99,67%,42,86%,79,61%,55,73%,44,66%,78,62%,Cloud Computing,2.59
352300168,Khaled Fawzy,Paid,102,87,62%,65,88%,54,94%,53,63%,48,92%,58,74%,92,96%,None,2.61
352300169,Nour Fawzy,Unpaid,102,59,69%,82,93%,54,86%,59,77%,43,95%,100,97%,96,71%,None,2.82
352300170,Maha Salem,Unpaid,105,71,63%,62,84%,90,93%,60,86%,66,69%,59,84%,51,94%,None,2.62
352300171,Khaled Mohamed,Paid,103,94,69%,91,89%,98,63%,75,86%,66,95%,73,68%,64,75%,None,3.21
352300172,Sara Mohamed,Unpaid,106,45,88%,94,83%,45,94%,86,72%,43,77%,64,98%,78,62%,Cloud Computing,2.6
352300173,Hana Ibrahim,Paid,107,88,97%,86,95%,53,90%,53,81%,59,60%,53,72%,87,67%,None,2.74
352300174,Hassan Khalil,Unpaid,102,84,98%,85,73%,65,75%,75,80%,89,78%,64,89%,74,82%,None,3.06
352300175,Sara Ahmed,Unpaid,105,96,91%,69,66%,91,90%,88,80%,98,73%,63,80%,66,62%,None,3.26
352300176,Layla Zaki,Paid,106,49,61%,56,95%,99,97%,77,86%,58,69%,52,81%,54,84%,None,2.54
352300177,Layla Zaki,Paid,104,75,81%,56,91%,86,91%,69,70%,86,82%,50,68%,86,94%,None,2.9
352300178,Khaled Hassan,Paid,105,42,64%,100,63%,88,60%,66,68%,93,100%,54,64%,85,69%,None,3.02
352300179,Ahmed Mohamed,Unpaid,103,43,99%,80,99%,98,90%,82,91%,41,60%,74,95%,66,60%,None,2.77
352300180,Ahmed Kamel,Unpaid,105,58,61%,72,87%,91,71%,46,66%,73,69%,55,72%,79,93%,Cybersecurity,2.71
352300181,Sara Zaki,Unpaid,103,90,85%,45,83%,65,89%,76,75%,84,74%,59,65%,81,62%,None,2.86
352300182,Mohamed Saad,Unpaid,104,75,90%,43,100%,40,70%,45,91%,94,87%,81,81%,76,66%,"Cloud Computing, Cybersecurity",2.59
352300183,Salma Kamel,Paid,102,53,96%,70,77%,42,64%,83,77%,97,94%,76,62%,51,80%,Cloud Computing,2.7
352300184,Ahmed Mohamed,Paid,107,92,85%,99,64%,59,70%,76,75%,76,84%,83,94%,61,84%,None,3.12
352300185,Ibrahim Amer,Paid,107,84,65%,72,82%,43,66%,67,74%,93,64%,61,98%,89,99%,Cloud Computing,2.91
352300186,Layla Saad,Unpaid,101,80,77%,90,88%,71,74%,62,95%,100,84%,67,71%,83,97%,None,3.16
352300187,Maha Saad,Paid,107,79,78%,91,75%,85,64%,45,77%,49,84%,85,100%,49,84%,Cybersecurity,2.76
