Student_ID,Name,Payment_Status,Advisor_ID,Machine Learning_Grade,Machine Learning_Attendance,Cloud Computing_Grade,Cloud Computing_Attendance,Cybersecurity_Grade,Cybersecurity_Attendance,Graduation Project_Grade,Graduation Project_Attendance,NLP_Grade,NLP_Attendance,Big Data_Grade,Big Data_Attendance,Image Processing_Grade,Image Processing_Attendance,Remaining_Courses,CGPA
352300211,Maha Ibrahim,Paid,106,62,77%,55,73%,83,98%,76,88%,70,70%,52,77%,74,70%,None (Ready to Graduate),2.7
352300212,Youssef Mohamed,Unpaid,102,71,78%,90,70%,88,75%,85,80%,62,76%,98,80%,53,82%,None (Ready to Graduate),3.13
352300213,Mohamed Mahmoud,Unpaid,105,62,71%,86,87%,54,99%,68,87%,63,90%,80,97%,67,76%,None (Ready to Graduate),2.74
352300214,Hassan Ibrahim,Paid,106,60,79%,100,97%,60,73%,68,84%,81,81%,56,81%,59,78%,None (Ready to Graduate),2.77
352300215,Hassan Salem,Paid,105,81,87%,86,75%,72,78%,100,90%,84,77%,84,96%,88,71%,None (Ready to Graduate),3.4
352300216,Omar Zaki,Paid,107,64,78%,51,99%,97,98%,86,76%,82,82%,94,90%,72,78%,None (Ready to Graduate),3.12
352300217,Ali Mohamed,Unpaid,106,78,98%,78,81%,59,74%,75,72%,88,97%,53,90%,56,91%,None (Ready to Graduate),2.78
352300218,Fatma Fawzy,Paid,104,68,84%,76,87%,93,70%,84,73%,84,87%,87,94%,81,73%,None (Ready to Graduate),3.27
352300219,Sara Saad,Paid,104,40,93%,94,78%,99,94%,57,99%,53,90%,63,90%,74,76%,Machine Learning,2.74
352300220,Ali Mahmoud,Paid,105,98,99%,76,70%,79,85%,45,99%,67,96%,90,77%,51,98%,Graduation Project,2.89
352300221,Layla Ibrahim,Paid,106,73,72%,99,87%,88,74%,82,100%,77,78%,75,89%,70,76%,None (Ready to Graduate),3.22
352300222,Salma Kamel,Paid,106,64,91%,82,84%,95,84%,54,77%,51,70%,79,77%,79,70%,None (Ready to Graduate),2.88
352300223,Mohamed Amer,Paid,102,51,71%,93,72%,75,78%,83,76%,76,93%,97,88%,78,77%,None (Ready to Graduate),3.16
352300224,Ibrahim Nasser,Unpaid,102,52,91%,70,83%,69,97%,86,91%,82,90%,53,82%,86,95%,None (Ready to Graduate),2.85
352300225,Hana Ibrahim,Paid,102,58,84%,55,75%,62,77%,94,72%,71,97%,93,73%,50,87%,None (Ready to Graduate),2.76
352300226,Hana Ali,Paid,107,92,75%,69,85%,59,82%,95,75%,68,82%,62,95%,89,79%,None (Ready to Graduate),3.05
